Automation tools,Java Language,Python Language,JS Lanaguage,Data Engineering,Bug Tracking Tools,Test Management Tool,DataBase,Big Data
selenium,java,python,java script,AWS,jira,test link,sql,hive
web driver,,,js,cloud,version one,,my sql,hbase
rc,,,,,mingle,,,hadoop
pom,,,,,,,,hdfs
html,,,,,,,,kafaka
css,,,,,,,,spark
,,,,,,,,map reduce
,,,,,,,,big data
